loan_id,loan_date,account_date,loan_amount,loan_duration,account_age_at_loan_months,client_age_at_loan_years,card_type,has_card,district_name_region,district_inhabitants,district_urban_ratio,district_avg_salary,district_unemployment_rate,district_enterpreneurs_per_thousand_inhabitants,district_crimes_per_thousand_inhabitants,loan_salary_ratio,bad_payer
4959,1994-01-05,1993-02-26,80952,24,10,48,no card,0,Hl.m. Praha (Prague),1204953,100.0,12541,0.43,167,82.2497,0.26895782,0
4961,1996-04-29,1995-04-07,30276,12,12,57,no card,0,Tabor (south Bohemia),103347,67.0,9104,2.07,123,22.7776,0.27713093,1
4962,1997-12-08,1996-07-28,30276,12,16,35,no card,0,Frydek - Mistek (north Moravia),228848,57.2,9893,4.72,96,25.7245,0.25502881,0
4967,1998-10-14,1997-08-18,318480,60,13,46,no card,0,Strakonice (south Bohemia),70646,58.4,8547,3.64,120,21.8271,0.62103662,1
4968,1998-04-19,1997-08-08,110736,48,8,58,no card,0,Prachatice (south Bohemia),51428,52.7,8402,3.98,120,21.3697,0.27457748,0
4973,1996-05-02,1994-10-19,165960,24,18,51,no card,0,Jindrichuv Hradec (south Bohemia),93931,56.9,8427,1.54,107,20.366,0.82057672,0
4986,1997-08-10,1996-05-05,102876,12,15,55,no card,0,Ostrava - mesto (north Moravia),323870,100.0,10673,5.44,100,56.6493,0.80324183,0
4988,1997-12-06,1996-03-10,265320,36,20,30,no card,0,Chrudim (east Bohemia),105606,53.0,8254,3.76,97,22.0158,0.89290041,1
4989,1998-12-05,1997-07-10,352704,48,16,47,classic,1,Tabor (south Bohemia),103347,67.0,9104,2.07,123,22.7776,0.80711775,0
4990,1997-09-08,1996-07-17,162576,36,13,44,no card,0,Liberec (north Bohemia),159617,85.2,9198,4.28,131,38.417,0.4909763,0
4996,1996-11-06,1996-05-11,88440,12,5,51,no card,0,Teplice (north Bohemia),128118,85.3,9317,7.07,97,53.6381,0.79102715,0
5002,1994-05-31,1993-11-26,104808,12,6,54,no card,0,Zdar nad Sazavou (south Moravia),125832,48.3,8512,4.12,102,16.7128,1.02608083,0
5005,1997-04-10,1996-08-12,27456,12,7,29,no card,0,Novy Jicin (north Moravia),161227,69.7,8678,5.57,102,28.5002,0.26365522,0
5015,1998-07-12,1997-02-23,109344,12,16,53,classic,1,Karvina (north Moravia),285387,89.9,10177,7.75,81,35.4186,0.89535226,0
5027,1998-12-02,1997-12-08,160920,36,11,27,classic,1,Louny (north Bohemia),85852,59.8,8965,8.23,104,32.8705,0.49860569,0
5032,1994-11-03,1993-12-02,123696,48,11,54,no card,0,Breclav (south Moravia),124605,46.0,8772,4.98,126,25.3441,0.29377565,0
5034,1998-05-30,1996-07-25,112752,36,22,42,no card,0,Novy Jicin (north Moravia),161227,69.7,8678,5.57,102,28.5002,0.36091265,0
5036,1998-11-25,1997-04-25,91248,48,19,25,no card,0,Ceske Budejovice (south Bohemia),177686,74.8,10045,1.71,135,35.4277,0.18924838,0
5039,1997-05-03,1996-01-26,66840,24,15,57,no card,0,Cesky Krumlov (south Bohemia),58796,51.9,9045,3.6,124,31.958,0.30790492,0
5041,1997-07-11,1995-10-17,369000,60,20,23,no card,0,Pardubice (east Bohemia),162580,72.8,9538,1.81,111,33.2759,0.64478926,0
5042,1998-07-12,1996-11-24,331584,48,19,25,no card,0,Havlickuv Brod (east Bohemia),95907,59.1,8388,2.94,87,17.3918,0.82355746,0
5043,1997-12-25,1996-09-11,468060,60,15,50,no card,0,Nachod (east Bohemia),112709,73.5,8369,2.31,117,23.228,0.93213048,0
5044,1994-12-21,1993-12-01,100980,60,12,29,no card,0,Brno - mesto (south Moravia),387570,100.0,9897,1.96,140,48.239,0.17005153,0
5045,1995-05-01,1993-12-13,187224,24,16,47,no card,0,Znojmo (south Moravia),114200,43.7,8403,5.72,105,23.8004,0.92835892,1
5046,1998-09-09,1997-06-08,42816,12,15,61,no card,0,Olomouc (north Moravia),226122,62.6,8994,4.79,110,40.7214,0.39670892,0
5051,1997-10-11,1996-07-22,230400,60,14,36,no card,0,Frydek - Mistek (north Moravia),228848,57.2,9893,4.72,96,25.7245,0.38815324,0
5060,1994-07-19,1993-11-29,252060,60,7,28,no card,0,Hl.m. Praha (Prague),1204953,100.0,12541,0.43,167,82.2497,0.33498126,1
