district_id,district_name,district_region,district_name_region,district_inhabitants,district_urban_ratio,district_avg_salary,district_unemployment_rate,district_enterpreneurs_per_thousand_inhabitants,district_crimes_per_thousand_inhabitants
1,Hl.m. Praha,Prague,Hl.m. Praha (Prague),1204953,100.0,12541,0.43,167,82.2497
2,Benesov,central Bohemia,Benesov (central Bohemia),88884,46.7,8507,1.85,132,30.0842
3,Beroun,central Bohemia,Beroun (central Bohemia),75232,41.7,8980,2.21,111,37.391
4,Kladno,central Bohemia,Kladno (central Bohemia),149893,67.4,9753,5.05,109,39.308
5,Kolin,central Bohemia,Kolin (central Bohemia),95616,51.4,9307,4.43,118,31.7938
6,Kutna Hora,central Bohemia,Kutna Hora (central Bohemia),77963,51.5,8546,4.02,126,40.019
7,Melnik,central Bohemia,Melnik (central Bohemia),94725,63.4,9920,2.87,130,51.1586
8,Mlada Boleslav,central Bohemia,Mlada Boleslav (central Bohemia),112065,69.4,11277,1.44,127,44.501
9,Nymburk,central Bohemia,Nymburk (central Bohemia),81344,55.3,8899,3.97,149,30.5739
10,Praha - vychod,central Bohemia,Praha - vychod (central Bohemia),92084,46.7,10124,0.54,141,46.8702
11,Praha - zapad,central Bohemia,Praha - zapad (central Bohemia),75637,36.5,9622,0.59,154,46.6571
12,Pribram,central Bohemia,Pribram (central Bohemia),107870,58.0,8754,4.31,137,35.858
13,Rakovnik,central Bohemia,Rakovnik (central Bohemia),53921,41.3,8598,3.26,123,34.7731
14,Ceske Budejovice,south Bohemia,Ceske Budejovice (south Bohemia),177686,74.8,10045,1.71,135,35.4277
15,Cesky Krumlov,south Bohemia,Cesky Krumlov (south Bohemia),58796,51.9,9045,3.6,124,31.958
16,Jindrichuv Hradec,south Bohemia,Jindrichuv Hradec (south Bohemia),93931,56.9,8427,1.54,107,20.366
17,Pelhrimov,south Bohemia,Pelhrimov (south Bohemia),74062,61.4,8114,2.62,119,15.9461
18,Pisek,south Bohemia,Pisek (south Bohemia),70699,65.3,8968,3.35,131,27.0159
19,Prachatice,south Bohemia,Prachatice (south Bohemia),51428,52.7,8402,3.98,120,21.3697
20,Strakonice,south Bohemia,Strakonice (south Bohemia),70646,58.4,8547,3.64,120,21.8271
21,Tabor,south Bohemia,Tabor (south Bohemia),103347,67.0,9104,2.07,123,22.7776
22,Domazlice,west Bohemia,Domazlice (west Bohemia),58400,52.4,8620,1.25,100,19.1267
23,Cheb,west Bohemia,Cheb (west Bohemia),87419,85.5,8624,2.66,102,36.5824
24,Karlovy Vary,west Bohemia,Karlovy Vary (west Bohemia),122603,80.0,8991,2.01,128,43.0087
25,Klatovy,west Bohemia,Klatovy (west Bohemia),88757,61.7,8554,2.68,113,24.9896
26,Plzen - mesto,west Bohemia,Plzen - mesto (west Bohemia),170449,100.0,10787,3.09,131,36.7324
27,Plzen - jih,west Bohemia,Plzen - jih (west Bohemia),67298,43.8,8561,1.29,110,16.7464
28,Plzen - sever,west Bohemia,Plzen - sever (west Bohemia),72541,36.9,8594,2.01,112,21.0226
29,Rokycany,west Bohemia,Rokycany (west Bohemia),45714,55.6,8843,3.6,113,19.4251
30,Sokolov,west Bohemia,Sokolov (west Bohemia),94812,81.8,9650,3.67,100,29.5743
31,Tachov,west Bohemia,Tachov (west Bohemia),51313,59.2,8930,4.2,108,28.2969
32,Ceska Lipa,north Bohemia,Ceska Lipa (north Bohemia),105058,81.0,9272,3.22,118,42.8811
33,Decin,north Bohemia,Decin (north Bohemia),133777,84.7,8705,7.61,116,36.3216
34,Chomutov,north Bohemia,Chomutov (north Bohemia),125236,87.7,9675,7.68,100,41.4418
35,Jablonec n. Nisou,north Bohemia,Jablonec n. Nisou (north Bohemia),88768,80.5,8867,1.21,130,40.7805
36,Liberec,north Bohemia,Liberec (north Bohemia),159617,85.2,9198,4.28,131,38.417
37,Litomerice,north Bohemia,Litomerice (north Bohemia),114006,62.3,9065,5.39,123,36.5419
38,Louny,north Bohemia,Louny (north Bohemia),85852,59.8,8965,8.23,104,32.8705
39,Most,north Bohemia,Most (north Bohemia),119895,89.9,10446,9.4,90,39.5596
40,Teplice,north Bohemia,Teplice (north Bohemia),128118,85.3,9317,7.07,97,53.6381
41,Usti nad Labem,north Bohemia,Usti nad Labem (north Bohemia),118650,85.6,9832,4.48,114,46.1104
42,Havlickuv Brod,east Bohemia,Havlickuv Brod (east Bohemia),95907,59.1,8388,2.94,87,17.3918
43,Hradec Kralove,east Bohemia,Hradec Kralove (east Bohemia),161854,76.3,9425,2.5,125,24.0402
44,Chrudim,east Bohemia,Chrudim (east Bohemia),105606,53.0,8254,3.76,97,22.0158
45,Jicin,east Bohemia,Jicin (east Bohemia),77917,53.5,8390,2.89,132,27.2341
46,Nachod,east Bohemia,Nachod (east Bohemia),112709,73.5,8369,2.31,117,23.228
47,Pardubice,east Bohemia,Pardubice (east Bohemia),162580,72.8,9538,1.81,111,33.2759
48,Rychnov nad Kneznou,east Bohemia,Rychnov nad Kneznou (east Bohemia),78955,59.0,9060,2.44,124,21.7466
49,Semily,east Bohemia,Semily (east Bohemia),75685,60.8,8208,2.26,155,28.0505
50,Svitavy,east Bohemia,Svitavy (east Bohemia),102609,52.0,8187,5.45,94,20.7974
51,Trutnov,east Bohemia,Trutnov (east Bohemia),121947,70.5,8541,2.97,131,31.4809
52,Usti nad Orlici,east Bohemia,Usti nad Orlici (east Bohemia),139012,61.9,8363,3.49,108,20.135
53,Blansko,south Moravia,Blansko (south Moravia),107911,50.9,8240,3.56,99,17.6349
54,Brno - mesto,south Moravia,Brno - mesto (south Moravia),387570,100.0,9897,1.96,140,48.239
55,Brno - venkov,south Moravia,Brno - venkov (south Moravia),157042,33.9,8743,2.43,111,24.7959
56,Breclav,south Moravia,Breclav (south Moravia),124605,46.0,8772,4.98,126,25.3441
57,Hodonin,south Moravia,Hodonin (south Moravia),161954,48.0,8720,4.5,116,22.5434
58,Jihlava,south Moravia,Jihlava (south Moravia),109164,63.6,8757,3.95,96,22.6357
59,Kromeriz,south Moravia,Kromeriz (south Moravia),108871,62.1,8444,3.47,106,21.1718
60,Prostejov,south Moravia,Prostejov (south Moravia),110643,51.9,8441,4.48,115,20.3538
61,Trebic,south Moravia,Trebic (south Moravia),117897,53.8,8814,5.74,107,17.4644
62,Uherske Hradiste,south Moravia,Uherske Hradiste (south Moravia),145688,40.7,8544,1.86,109,19.9467
63,Vyskov,south Moravia,Vyskov (south Moravia),86513,50.5,8288,4.52,110,16.8761
64,Zlin,south Moravia,Zlin (south Moravia),197099,74.7,9624,2.31,145,21.6389
65,Znojmo,south Moravia,Znojmo (south Moravia),114200,43.7,8403,5.72,105,23.8004
66,Zdar nad Sazavou,south Moravia,Zdar nad Sazavou (south Moravia),125832,48.3,8512,4.12,102,16.7128
67,Bruntal,north Moravia,Bruntal (north Moravia),106054,63.1,8110,6.55,109,29.0324
68,Frydek - Mistek,north Moravia,Frydek - Mistek (north Moravia),228848,57.2,9893,4.72,96,25.7245
69,Jesenik,north Moravia,Jesenik (north Moravia),42821,48.4,8173,7.01,124,31.7134
70,Karvina,north Moravia,Karvina (north Moravia),285387,89.9,10177,7.75,81,35.4186
71,Novy Jicin,north Moravia,Novy Jicin (north Moravia),161227,69.7,8678,5.57,102,28.5002
72,Olomouc,north Moravia,Olomouc (north Moravia),226122,62.6,8994,4.79,110,40.7214
73,Opava,north Moravia,Opava (north Moravia),182027,56.4,8746,3.74,90,24.3535
74,Ostrava - mesto,north Moravia,Ostrava - mesto (north Moravia),323870,100.0,10673,5.44,100,56.6493
75,Prerov,north Moravia,Prerov (north Moravia),138032,64.6,8819,5.66,99,32.6374
76,Sumperk,north Moravia,Sumperk (north Moravia),127369,51.2,8369,5.88,107,22.0383
77,Vsetin,north Moravia,Vsetin (north Moravia),148545,53.5,8909,5.56,113,24.1678
